  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  6.7500e-13          158.25418332    191719133.69065431        8352.90738503         -140.54619447         8212.36119055 
  6.8000e-13          158.12568505    330334432.03616691        8346.12504208         -144.49128791         8201.63375417 
  6.8500e-13          158.01030801    256416710.32208371        8340.03525848         -145.37465247         8194.66060601 
  6.9000e-13          157.90420518    418975238.28068650        8334.43498243         -136.66307650         8197.77190593 
  6.9500e-13          157.80565272    335896460.64625567        8329.23322721         -144.60351681         8184.62971040 
  7.0000e-13          157.70407310    170632377.08917099        8323.87169331         -149.06200505         8174.80968826 
  7.0500e-13          157.59269953    115479066.37864821        8317.99321940         -127.86244091         8190.13077849 
  7.1000e-13          157.46318001    404911630.30663568        8311.15697318         -134.85862654         8176.29834665 
  7.1500e-13          157.31318900    298214972.00190318        8303.24020903         -148.52906918         8154.71113986 
  7.2000e-13          157.13432108    114305447.97964759        8293.79927591         -137.35719238         8156.44208354 
  7.2500e-13          156.94189174    192132847.61621916        8283.64254935         -124.42930119         8159.21324816 
  7.3000e-13          156.74385890    157830281.32946092        8273.19006120         -161.26640097         8111.92366022 
  7.3500e-13          156.54206663    150661450.90531173        8262.53914429         -137.09146073         8125.44768356 
  7.4000e-13          156.34541847    219239162.68062693        8252.15974170         -136.19837931         8115.96136240 
  7.4500e-13          156.15630292    210942437.02744448        8242.17792237         -141.47321006         8100.70471231 
  7.5000e-13          155.97929882    119888289.03073464        8232.83536455         -140.26379701         8092.57156754 
  7.5500e-13          155.82225707    108974002.47281893        8224.54645127         -134.12238252         8090.42406875 
  7.6000e-13          155.68381226    421392641.94283956        8217.23911445         -132.40655385         8084.83256060 
  7.6500e-13          155.56875263    198459710.32298350        8211.16608414         -139.12962421         8072.03645994 
  7.7000e-13          155.47958234    369652861.21383667        8206.45953466         -159.84279576         8046.61673890 
  7.7500e-13          155.41450827    111079761.00927161        8203.02482135         -146.91447765         8056.11034371 
  7.8000e-13          155.36847521    150977281.15076640        8200.59512369         -139.97812598         8060.61699771 
  7.8500e-13          155.34751287     60143678.52804833        8199.48869811         -139.71961175         8059.76908636 
  7.9000e-13          155.34645336    301976203.14011294        8199.43277511         -131.68313556         8067.74963955 
